"觀測時間(month)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","降水日數(day)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","A型蒸發量(mm)","日照時數(hour)","全天空日射量(MJ/㎡)","平均日最高紫外線指數","月最高紫外線指數","月最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.4","...","1017.6","2022-01-01 09:02","1001.3","2022-01-29 15:21","18.5","27.9","2022-01-26 13:54","10.6","2022-01-14 05:18","...","1.1","6","10.3","1","2022-01-30 13:24","27.5","...","9","...","...","...","...","7.5","2022-01-22 00:00","75","...","...","...","...","...","...","..."
"02","1009.8","...","1016.6","2022-02-25 09:26","1003.0","2022-02-13 16:17","17.6","28.5","2022-02-28 14:22","10.9","2022-02-20 19:14","...","1.1","14","9.1","5","2022-02-07 18:15","112.5","...","12","...","...","...","...","26.0","2022-02-20 00:00","79","...","...","...","...","...","...","..."
"03","1005.5","...","1011.2","2022-03-28 22:43","998.4","2022-03-17 16:40","22.5","31.7","2022-03-13 14:24","11.2","2022-03-08 04:16","...","1.1","5","9.0","349","2022-03-07 14:44","138.5","...","10","...","...","...","...","43.0","2022-03-23 00:00","72","...","...","...","...","...","...","..."
"04","1004.9","...","1013.4","2022-04-05 08:13","996.5","2022-04-13 15:31","24.4","34.3","2022-04-26 13:13","13.9","2022-04-03 05:50","...","1.2","103","8.1","15","2022-04-02 00:23","43.0","...","6","...","...","...","...","17.0","2022-04-03 00:00","69","...","...","...","...","...","...","..."
"05","1001.7","...","1006.9","2022-05-03 09:25","995.5","2022-05-27 02:24","25.7","33.9","2022-05-07 15:02","16.6","2022-05-02 06:47","...","1.1","12","14.7","232","2022-05-26 14:02","377.5","...","17","...","...","...","...","95.5","2022-05-27 00:00","80","...","...","...","...","...","...","..."
"06","1000.1","...","1004.9","2022-06-23 08:01","994.6","2022-06-30 15:41","29.0","36.7","2022-06-23 12:43","23.6","2022-06-25 16:36","...","1.5","103","9.6","163","2022-06-29 15:33","336.0","...","14","...","...","...","...","62.5","2022-06-29 00:00","72","...","...","...","...","...","...","..."
"07","999.3","...","1005.4","2022-07-21 07:36","993.3","2022-07-30 16:07","30.4","37.7","2022-07-25 12:58","25.2","2022-07-06 04:25","...","1.5","91","12.1","234","2022-07-16 11:53","127.0","...","10","...","...","...","...","63.5","2022-07-30 00:00","70","...","...","...","...","...","...","..."
"08","1000.1","...","1005.2","2022-08-25 22:23","994.9","2022-08-23 16:34","29.9","37.5","2022-08-22 14:57","24.1","2022-08-02 13:18","...","1.3","106","14.9","271","2022-08-27 16:59","342.0","...","13","...","...","...","...","89.0","2022-08-17 00:00","72","...","...","...","...","...","...","..."
"09","999.0","...","1006.6","2022-09-07 08:47","986.7","2022-09-03 14:01","28.9","35.7","2022-09-15 14:25","23.6","2022-09-23 05:13","...","1.3","11","12.6","22","2022-09-01 15:52","75.5","...","8","...","...","...","...","44.5","2022-09-04 00:00","67","...","...","...","...","...","...","..."
"10","1004.1","...","1009.7","2022-10-25 09:24","993.7","2022-10-16 15:34","26.7","35.3","2022-10-02 14:09","21.0","2022-10-19 06:01","...","1.2","14","8.8","58","2022-10-31 22:28","9.0","...","4","...","...","...","...","4.5","2022-10-16 00:00","66","...","...","...","...","...","...","..."
"11","1006.1","...","1010.6","2022-11-06 09:24","995.5","2022-11-01 14:13","25.6","33.8","2022-11-28 13:53","20.9","2022-11-06 06:09","...","1.0","325","6.8","335","2022-11-01 14:14","15.5","...","5","...","...","...","...","10.5","2022-11-23 00:00","75","...","...","...","...","...","...","..."
"12","1009.1","...","1016.3","2022-12-18 08:28","1000.2","2022-12-10 14:52","18.7","29.3","2022-12-03 12:13","8.1","2022-12-25 06:57","...","1.1","8","10.5","11","2022-12-17 10:19","11.5","...","2","...","...","...","...","11.0","2022-12-17 00:00","66","...","...","...","...","...","...","..."